Record ID,Field,Raw Value,Reason
14,Customer/Order Information,Ultium Battery Order ORD-99111,Placeholder reason
29,Customer/Order Information,Chassis Frame Order ORD-65552,Placeholder reason
44,Customer/Order Information,EV Motor Housing Order ORD-88123,Placeholder reason
59,Customer/Order Information,Bumper Assembly Order ORD-76421,Placeholder reason
74,Customer/Order Information,Drivetrain Component Order ORD-43307,Placeholder reason
89,Customer/Order Information,EV Motor Housing Order ORD-88123,Placeholder reason
104,Customer/Order Information,Battery Tray Order ORD-54219,Placeholder reason
119,Customer/Order Information,Bumper Assembly Order ORD-76421,Placeholder reason
134,Customer/Order Information,Drivetrain Component Order ORD-43307,Placeholder reason
149,Customer/Order Information,Bumper Assembly Order ORD-76421,Placeholder reason
164,Customer/Order Information,Suspension Arm Order ORD-32918,Placeholder reason
179,Customer/Order Information,Exhaust Manifold Order ORD-43087,Placeholder reason
194,Customer/Order Information,Brake Rotor Order ORD-21764,Placeholder reason
209,Customer/Order Information,Seat Frame Order ORD-98204,Placeholder reason
224,Customer/Order Information,Exhaust Manifold Order ORD-43087,Placeholder reason
239,Customer/Order Information,Battery Tray Order ORD-54219,Placeholder reason
254,Customer/Order Information,EV Motor Housing Order ORD-88123,Placeholder reason
269,Customer/Order Information,Wiring Harness Order ORD-65310,Placeholder reason
284,Customer/Order Information,Fuel Rail Order ORD-54198,Placeholder reason
299,Customer/Order Information,Battery Tray Order ORD-54219,Placeholder reason
314,Customer/Order Information,Seat Frame Order ORD-98204,Placeholder reason
329,Customer/Order Information,Ultium Battery Order ORD-99111,Placeholder reason
344,Customer/Order Information,Chassis Frame Order ORD-65552,Placeholder reason
359,Customer/Order Information,Bumper Assembly Order ORD-76421,Placeholder reason
374,Customer/Order Information,Brake Rotor Order ORD-21764,Placeholder reason
389,Customer/Order Information,Suspension Arm Order ORD-32918,Placeholder reason
404,Customer/Order Information,Wiring Harness Order ORD-65310,Placeholder reason
419,Customer/Order Information,Exhaust Manifold Order ORD-43087,Placeholder reason
434,Customer/Order Information,EV Motor Housing Order ORD-88123,Placeholder reason
449,Customer/Order Information,Drivetrain Component Order ORD-43307,Placeholder reason
